acousticness,billboard_artist,billboard_df_index,billboard_name,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,popularity,release_date,speechiness,spotify_album,spotify_artist,spotify_song,tempo,time_signature,type,uri,valence
0.136,the orlons,435.0,south street,0.571,132453.0,0.725,0.0,2yoTFqvgtJgEK68lfUC9Kp,0.0,5.0,0.177,-5.303,1.0,24.0,1962-01-01,0.213,The Wah-Watusi/South Street,The Orlons,South Street,186.902,4.0,audio_features,spotify:track:2yoTFqvgtJgEK68lfUC9Kp,0.817
0.852,henry mancini,436.0,days of wine and roses,0.246,126549.0,0.171,0.0,2sWRC12vYVTHjdTD2WOE4v,0.0,7.0,0.195,-14.435,0.0,31.0,2000-09-14,0.0298,Greatest Hits - The Best of Henry Mancini,Henry Mancini,Days Of Wine And Roses - REMASTERED,81.235,4.0,audio_features,spotify:track:2sWRC12vYVTHjdTD2WOE4v,0.205
0.392,major lance,437.0,the monkey time,0.788,165013.0,0.593,0.0,0csjN1lfh3yXPRAPcOWqsw,0.00011,10.0,0.154,-11.081,1.0,8.0,2007-07-28,0.0442,60's Soul,Major Lance,The Monkey Time,124.647,4.0,audio_features,spotify:track:0csjN1lfh3yXPRAPcOWqsw,0.851
0.719,the four seasons,438.0,candy girl,0.644,157800.0,0.52,0.0,4AFLFG6pyvhBLC37FbDwc2,0.0,5.0,0.644,-8.163,1.0,36.0,2003-01-14,0.036,The Very Best of Frankie Valli & The 4 Seasons,Frankie Valli & The Four Seasons,Candy Girl,126.204,4.0,audio_features,spotify:track:4AFLFG6pyvhBLC37FbDwc2,0.715
0.23,the fireballs,439.0,sugar shack,0.792,123693.0,0.803,0.0,7g0RYi9itCZ1NqmE1h6RLp,5.04e-06,7.0,0.0639,-7.486,1.0,49.0,2009-10-01,0.0667,Sugar Shack / Buddy's Buddy,Jimmy Gilmer & The Fireballs,Sugar Shack,132.845,4.0,audio_features,spotify:track:7g0RYi9itCZ1NqmE1h6RLp,0.881
0.678,bill anderson,440.0,still,0.561,166973.0,0.142,0.0,0Q7eey8NSPQEQ3ol75UAAx,0.00631,8.0,0.226,-18.972,1.0,46.0,2006-01-01,0.0433,The Definitive Collection,Bill Anderson,Still - Single Version,94.454,4.0,audio_features,spotify:track:0Q7eey8NSPQEQ3ol75UAAx,0.293
0.817,bobby vinton,441.0,blue on blue,0.607,144533.0,0.303,0.0,5n6zROqnqMtYXfQ2vazEaz,0.0,10.0,0.183,-10.065,1.0,37.0,1962,0.0244,The Best Of Bobby Vinton,Bobby Vinton,Blue on Blue,97.383,4.0,audio_features,spotify:track:5n6zROqnqMtYXfQ2vazEaz,0.555
0.72,lou christie,443.0,two faces have i,0.649,165067.0,0.584,0.0,1cpguRdD11njLNH2ZeWygE,9.42e-06,5.0,0.0996,-8.086,1.0,36.0,1963-01-01,0.0349,Lou Christie,Lou Christie,Two Faces Have I,139.266,4.0,audio_features,spotify:track:1cpguRdD11njLNH2ZeWygE,0.963
0.13,ray charles,444.0,busted,0.917,379533.0,0.466,0.0,3YSviAGEU8lslBKSNkc2Z3,5.19e-06,7.0,0.0675,-9.253,1.0,9.0,2010-02-16,0.207,"Drunk, Busted, Disgusted and Can't Be Trusted",Billy Ray Charles,Drunk Busted,91.3,4.0,audio_features,spotify:track:3YSviAGEU8lslBKSNkc2Z3,0.634
0.48,the crystals,445.0,da doo ron ron,0.535,140120.0,0.797,0.0,0fonScmHUzC0MglSLn9saA,3.42e-05,3.0,0.141,-7.533,1.0,56.0,2011-02-22,0.0459,Da Doo Ron Ron: The Very Best of The Crystals,The Crystals,Da Doo Ron Ron (When He Walked Me Home),148.835,4.0,audio_features,spotify:track:0fonScmHUzC0MglSLn9saA,0.613
